loan_id,customer_id,loan_type,loan_amount,interest_rate,term_months,application_date,loan_status,age,age_group,gender,employment_status,annual_income,income_group,credit_score,credit_score_group,city,province,branch_name,approved_flag,rejected_flag,defaulted_flag
9001,1573,Mortgage,543503.56,9.94,36,2024-07-09,Approved,50,36-50,Male,Full-time,81538,High Income,691,Good,Quebec City,Quebec,Quebec City Main Branch,1,0,0
9002,1312,Personal Loan,25402.34,11.87,12,2023-08-19,Approved,65,51-65,Male,Full-time,68662,Middle Income,590,Fair,Surrey,British Columbia,Surrey Main Branch,1,0,0
9003,1312,Personal Loan,24868.72,15.48,60,2023-02-02,Approved,65,51-65,Male,Full-time,68662,Middle Income,590,Fair,Surrey,British Columbia,Surrey Main Branch,1,0,0
9004,1281,Student Loan,29914.65,8.22,24,2023-05-09,Paid Off,57,51-65,Male,Student,18807,Low Income,674,Good,Toronto,Ontario,Toronto Main Branch,0,0,0
9005,1268,Student Loan,12143.48,16.31,60,2024-08-01,Approved,20,18-25,Female,Unemployed,19543,Low Income,552,Poor,Quebec City,Quebec,Quebec City Main Branch,1,0,0
9006,1418,Mortgage,383711.1,9.38,24,2023-07-10,Rejected,19,18-25,Female,Full-time,71048,High Income,629,Fair,Toronto,Ontario,Toronto Main Branch,0,1,0
9007,1607,Student Loan,21676.4,11.74,300,2024-02-19,Approved,21,18-25,Male,Full-time,78298,High Income,636,Fair,Winnipeg,Manitoba,Winnipeg Main Branch,1,0,0
9008,1569,Auto Loan,21469.99,13.93,36,2023-08-16,Rejected,41,36-50,Female,Unemployed,14581,Low Income,533,Poor,Toronto,Ontario,Toronto Main Branch,0,1,0
9009,1828,Personal Loan,20250.99,5.59,24,2023-09-07,Approved,35,26-35,Male,Part-time,33110,Middle Income,694,Good,Quebec City,Quebec,Quebec City Main Branch,1,0,0
9010,1828,Auto Loan,35588.5,5.7,12,2023-05-11,Approved,35,26-35,Male,Part-time,33110,Middle Income,694,Good,Quebec City,Quebec,Quebec City Main Branch,1,0,0
9011,1525,Mortgage,461460.23,5.79,24,2024-08-25,Paid Off,46,36-50,Female,Self-employed,111326,High Income,733,Good,Vancouver,British Columbia,Vancouver Main Branch,0,0,0
9012,1518,Student Loan,10014.43,6.47,240,2024-12-06,Approved,20,18-25,Female,Full-time,91321,High Income,732,Good,Montreal,Quebec,Montreal Main Branch,1,0,0
9013,1518,Business Loan,2000.0,8.56,300,2024-09-05,Rejected,20,18-25,Female,Full-time,91321,High Income,732,Good,Montreal,Quebec,Montreal Main Branch,0,1,0
9014,1878,Personal Loan,2064.8,10.65,48,2023-10-07,Approved,45,36-50,Female,Full-time,82422,High Income,632,Fair,Hamilton,Ontario,Hamilton Main Branch,1,0,0
9015,1878,Mortgage,212251.66,7.98,300,2024-09-02,Approved,45,36-50,Female,Full-time,82422,High Income,632,Fair,Hamilton,Ontario,Hamilton Main Branch,1,0,0
9016,1248,Mortgage,412641.45,14.51,24,2023-11-04,Approved,23,18-25,Male,Self-employed,57466,Middle Income,568,Poor,Regina,Saskatchewan,Regina Main Branch,1,0,0
